ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
086520,에코프로,KOSDAQ,annual,1,exact,22.1,10,0,0,10,8
247540,에코프로비엠,KOSDAQ,annual,1,exact,18.5,10,8,0,2,14
247540,에코프로비엠,KOSDAQ,annual,2,exact,12.2,10,8,0,2,14
196170,알테오젠,KOSDAQ,annual,1,exact,33.6,3,0,0,3,3
000250,삼천당제약,KOSDAQ,annual,1,exact,30.2,8,3,0,5,3
022100,포스코DX,KOSPI,annual,2,exact,33.4,5,1,0,4,3
277810,레인보우로보틱스,KOSDAQ,annual,1,exact,40.3,10,1,0,9,0
196170,알테오젠,KOSDAQ,annual,2,exact,12.1,3,0,0,3,3
247540,에코프로비엠,KOSDAQ,annual,3,exact,15.2,10,8,0,2,14
000250,삼천당제약,KOSDAQ,annual,2,exact,13.5,8,3,0,5,3
022100,포스코DX,KOSPI,annual,3,exact,9.7,5,1,0,4,3
086520,에코프로,KOSDAQ,annual,2,exact,34.5,10,0,0,10,8
277810,레인보우로보틱스,KOSDAQ,annual,2,exact,9.7,10,1,0,9,0
196170,알테오젠,KOSDAQ,annual,3,exact,12.4,3,0,0,3,3
000250,삼천당제약,KOSDAQ,annual,3,exact,11.0,8,3,0,5,3
058470,리노공업,KOSDAQ,annual,1,exact,14.1,10,1,0,9,2
277810,레인보우로보틱스,KOSDAQ,annual,3,exact,6.1,10,1,0,9,0
086520,에코프로,KOSDAQ,annual,3,exact,11.8,10,0,0,10,8
058470,리노공업,KOSDAQ,annual,2,exact,5.8,10,1,0,9,2
028300,HLB,KOSDAQ,annual,1,exact,11.4,7,1,3,3,3
141080,리가켐바이오,KOSDAQ,annual,1,exact,10.4,8,1,0,7,1
298380,에이비엘바이오,KOSDAQ,annual,1,exact,21.1,8,3,0,5,3
950160,코오롱티슈진,KOSDAQ,annual,1,exact,38.0,7,1,0,6,2
141080,리가켐바이오,KOSDAQ,annual,2,exact,21.0,8,1,0,7,1
298380,에이비엘바이오,KOSDAQ,annual,2,exact,11.3,8,3,0,5,3
028300,HLB,KOSDAQ,annual,2,exact,23.6,7,1,3,3,3
058470,리노공업,KOSDAQ,annual,3,exact,29.3,10,1,0,9,2
950160,코오롱티슈진,KOSDAQ,annual,2,exact,13.6,7,1,0,6,2
087010,펩트론,KOSDAQ,annual,1,exact,39.4,10,1,0,9,0
036930,주성엔지니어링,KOSDAQ,annual,1,exact,22.6,10,1,0,9,6
028300,HLB,KOSDAQ,annual,3,exact,27.4,7,1,3,3,3
298380,에이비엘바이오,KOSDAQ,annual,3,exact,28.8,8,3,0,5,3
141080,리가켐바이오,KOSDAQ,annual,3,exact,28.8,8,1,0,7,1
087010,펩트론,KOSDAQ,annual,2,exact,29.4,10,1,0,9,0
240810,원익IPS,KOSDAQ,annual,1,exact,13.9,10,5,0,5,3
036930,주성엔지니어링,KOSDAQ,annual,2,exact,17.6,10,1,0,9,6
950160,코오롱티슈진,KOSDAQ,annual,3,exact,37.8,7,1,0,6,2
214370,케어젠,KOSDAQ,annual,1,exact,28.3,5,2,0,3,2
087010,펩트론,KOSDAQ,annual,3,exact,19.0,10,1,0,9,0
039030,이오테크닉스,KOSDAQ,annual,1,exact,32.2,10,2,0,8,2
214370,케어젠,KOSDAQ,annual,2,exact,5.5,5,2,0,3,2
240810,원익IPS,KOSDAQ,annual,2,exact,21.6,10,5,0,5,3
036930,주성엔지니어링,KOSDAQ,annual,3,exact,21.9,10,1,0,9,6
310210,보로노이,KOSDAQ,annual,1,exact,12.2,10,2,0,8,1
039030,이오테크닉스,KOSDAQ,annual,2,exact,7.0,10,2,0,8,2
214370,케어젠,KOSDAQ,annual,3,exact,5.9,5,2,0,3,2
240810,원익IPS,KOSDAQ,annual,3,exact,4.3,10,5,0,5,3
095340,ISC,KOSDAQ,annual,1,exact,12.5,10,4,0,6,3
310210,보로노이,KOSDAQ,annual,2,exact,6.2,10,2,0,8,1
039030,이오테크닉스,KOSDAQ,annual,3,exact,10.0,10,2,0,8,2
095340,ISC,KOSDAQ,annual,2,exact,7.2,10,4,0,6,3
108490,로보티즈,KOSDAQ,annual,1,exact,13.9,3,1,0,2,0
403870,HPSP,KOSDAQ,annual,1,exact,14.3,8,4,0,4,2
310210,보로노이,KOSDAQ,annual,3,exact,11.2,10,2,0,8,1
108490,로보티즈,KOSDAQ,annual,2,exact,5.4,3,1,0,2,0
095340,ISC,KOSDAQ,annual,3,exact,7.2,10,4,0,6,3
440110,파두,KOSDAQ,annual,1,exact,26.7,10,5,0,5,7
263750,펄어비스,KOSDAQ,annual,1,exact,34.3,8,1,0,7,4
108490,로보티즈,KOSDAQ,annual,3,exact,28.4,3,1,0,2,0
403870,HPSP,KOSDAQ,annual,2,exact,33.2,8,4,0,4,2
440110,파두,KOSDAQ,annual,2,exact,21.1,10,5,0,5,7
032820,우리기술,KOSDAQ,annual,1,exact,47.1,3,1,0,2,0
214150,클래시스,KOSDAQ,annual,1,exact,46.3,6,1,0,5,2
403870,HPSP,KOSDAQ,annual,3,exact,21.0,8,4,0,4,2
032820,우리기술,KOSDAQ,annual,2,exact,4.6,3,1,0,2,0
263750,펄어비스,KOSDAQ,annual,2,exact,27.6,8,1,0,7,4
357780,솔브레인,KOSDAQ,annual,1,exact,27.5,8,1,0,7,1
440110,파두,KOSDAQ,annual,3,exact,29.8,10,5,0,5,7
