ticker,company,market,meeting_type,run_no,status,elapsed_s,agenda,for,against,review,candidates
009830,한화솔루션,KOSPI,annual,1,exact,28.1,9,1,0,8,2
009830,한화솔루션,KOSPI,annual,2,exact,0.0,9,1,0,8,2
009830,한화솔루션,KOSPI,annual,3,exact,0.2,9,1,0,8,2
000100,유한양행,KOSPI,annual,1,exact,21.3,3,1,0,2,0
000100,유한양행,KOSPI,annual,2,exact,0.0,3,1,0,2,0
000100,유한양행,KOSPI,annual,3,exact,0.1,3,1,0,2,0
326030,SK바이오팜,KOSPI,annual,1,exact,22.2,5,1,0,4,4
326030,SK바이오팜,KOSPI,annual,2,exact,0.0,5,1,0,4,4
326030,SK바이오팜,KOSPI,annual,3,exact,0.0,5,1,0,4,4
047040,대우건설,KOSPI,annual,1,exact,27.1,7,1,0,6,5
047040,대우건설,KOSPI,annual,2,exact,1.4,7,1,0,6,5
047040,대우건설,KOSPI,annual,3,exact,0.0,7,1,0,6,5
161390,한국타이어앤테크놀로지,KOSPI,annual,1,exact,11.2,10,2,0,8,4
161390,한국타이어앤테크놀로지,KOSPI,annual,2,exact,0.1,10,2,0,8,4
161390,한국타이어앤테크놀로지,KOSPI,annual,3,exact,0.0,10,2,0,8,4
028050,삼성E&A,KOSPI,annual,1,exact,13.5,10,1,0,9,5
028050,삼성E&A,KOSPI,annual,2,exact,0.0,10,1,0,9,5
028050,삼성E&A,KOSPI,annual,3,exact,0.0,10,1,0,9,5
029780,삼성카드,KOSPI,annual,1,exact,10.8,10,1,0,9,7
029780,삼성카드,KOSPI,annual,2,exact,0.0,10,1,0,9,7
029780,삼성카드,KOSPI,annual,3,exact,0.0,10,1,0,9,7
011070,LG이노텍,KOSPI,annual,1,exact,24.1,9,5,0,4,5
011070,LG이노텍,KOSPI,annual,2,exact,0.0,9,5,0,4,5
011070,LG이노텍,KOSPI,annual,3,exact,0.1,9,5,0,4,5
128940,한미약품,KOSPI,annual,1,exact,22.1,7,4,0,3,3
128940,한미약품,KOSPI,annual,2,exact,0.1,7,4,0,3,3
128940,한미약품,KOSPI,annual,3,exact,0.0,7,4,0,3,3
032640,LG유플러스,KOSPI,annual,1,exact,19.1,7,1,0,6,4
032640,LG유플러스,KOSPI,annual,2,exact,0.0,7,1,0,6,4
032640,LG유플러스,KOSPI,annual,3,exact,0.0,7,1,0,6,4
078930,GS,KOSPI,annual,1,exact,20.4,5,1,0,4,2
078930,GS,KOSPI,annual,2,exact,0.0,5,1,0,4,2
078930,GS,KOSPI,annual,3,exact,0.0,5,1,0,4,2
052690,한전기술,KOSPI,annual,1,exact,19.5,4,1,1,2,1
052690,한전기술,KOSPI,annual,2,exact,0.1,4,1,1,2,1
052690,한전기술,KOSPI,annual,3,exact,0.2,4,1,1,2,1
064400,LG씨엔에스,KOSPI,annual,1,exact,19.0,4,1,0,3,1
064400,LG씨엔에스,KOSPI,annual,2,exact,0.0,4,1,0,3,1
064400,LG씨엔에스,KOSPI,annual,3,exact,0.0,4,1,0,3,1
034220,LG디스플레이,KOSPI,annual,1,exact,18.4,10,3,0,7,4
034220,LG디스플레이,KOSPI,annual,2,exact,0.0,10,3,0,7,4
034220,LG디스플레이,KOSPI,annual,3,exact,0.0,10,3,0,7,4
241560,두산밥캣,KOSPI,annual,1,exact,17.5,5,3,0,2,2
