ticker,company,market,run_no,status,elapsed_s,major_count,treasury_pct
454910,두산로보틱스,KOSPI,1,exact,1.1,0,0
241560,두산밥캣,KOSPI,2,exact,1.2,0,0
138930,BNK금융지주,KOSPI,2,exact,1.1,0,0
454910,두산로보틱스,KOSPI,2,exact,1.1,0,0
241560,두산밥캣,KOSPI,3,exact,1.2,0,0
138930,BNK금융지주,KOSPI,3,exact,1.2,0,0
454910,두산로보틱스,KOSPI,3,exact,1.1,0,0
175330,JB금융지주,KOSPI,1,exact,1.2,0,0
001440,대한전선,KOSPI,1,exact,1.3,0,0
271560,오리온,KOSPI,1,exact,1.4,0,0
175330,JB금융지주,KOSPI,2,exact,1.2,0,0
001440,대한전선,KOSPI,2,exact,1.2,0,0
271560,오리온,KOSPI,2,exact,1.2,0,0
175330,JB금융지주,KOSPI,3,exact,1.1,0,0
001440,대한전선,KOSPI,3,exact,1.1,0,0
271560,오리온,KOSPI,3,exact,1.1,0,0
021240,코웨이,KOSPI,1,exact,1.1,0,0
022100,포스코DX,KOSPI,1,exact,1.1,0,0
036570,엔씨소프트,KOSPI,1,exact,1.1,0,0
021240,코웨이,KOSPI,2,exact,1.1,0,0
022100,포스코DX,KOSPI,2,exact,1.0,0,0
036570,엔씨소프트,KOSPI,2,exact,1.1,0,0
021240,코웨이,KOSPI,3,exact,1.1,0,0
022100,포스코DX,KOSPI,3,exact,1.1,0,0
036570,엔씨소프트,KOSPI,3,exact,1.1,0,0
086520,에코프로,KOSDAQ,1,exact,1.3,0,0
247540,에코프로비엠,KOSDAQ,1,exact,1.3,0,0
196170,알테오젠,KOSDAQ,1,exact,1.2,0,0
247540,에코프로비엠,KOSDAQ,2,exact,1.3,0,0
086520,에코프로,KOSDAQ,2,exact,1.5,0,0
196170,알테오젠,KOSDAQ,2,exact,1.3,0,0
247540,에코프로비엠,KOSDAQ,3,exact,1.3,0,0
086520,에코프로,KOSDAQ,3,exact,1.4,0,0
196170,알테오젠,KOSDAQ,3,exact,1.0,0,0
277810,레인보우로보틱스,KOSDAQ,1,exact,1.0,0,0
000250,삼천당제약,KOSDAQ,1,exact,1.1,0,0
058470,리노공업,KOSDAQ,1,exact,1.1,0,0
277810,레인보우로보틱스,KOSDAQ,2,exact,1.2,0,0
000250,삼천당제약,KOSDAQ,2,exact,1.1,0,0
058470,리노공업,KOSDAQ,2,exact,1.1,0,0
277810,레인보우로보틱스,KOSDAQ,3,exact,1.1,0,0
000250,삼천당제약,KOSDAQ,3,exact,1.2,0,0
058470,리노공업,KOSDAQ,3,exact,1.2,0,0
950160,코오롱티슈진,KOSDAQ,1,exact,1.1,0,0
028300,HLB,KOSDAQ,1,exact,1.2,0,0
298380,에이비엘바이오,KOSDAQ,1,exact,1.2,0,0
950160,코오롱티슈진,KOSDAQ,2,exact,1.1,0,0
028300,HLB,KOSDAQ,2,exact,1.2,0,0
298380,에이비엘바이오,KOSDAQ,2,exact,1.3,0,0
950160,코오롱티슈진,KOSDAQ,3,exact,1.3,0,0
028300,HLB,KOSDAQ,3,exact,1.2,0,0
298380,에이비엘바이오,KOSDAQ,3,exact,1.3,0,0
141080,리가켐바이오,KOSDAQ,1,exact,1.1,0,0
087010,펩트론,KOSDAQ,1,exact,1.1,0,0
036930,주성엔지니어링,KOSDAQ,1,exact,1.2,0,0
141080,리가켐바이오,KOSDAQ,2,exact,1.1,0,0
087010,펩트론,KOSDAQ,2,exact,1.0,0,0
036930,주성엔지니어링,KOSDAQ,2,exact,1.3,0,0
141080,리가켐바이오,KOSDAQ,3,exact,1.1,0,0
087010,펩트론,KOSDAQ,3,exact,1.1,0,0
036930,주성엔지니어링,KOSDAQ,3,exact,1.1,0,0
039030,이오테크닉스,KOSDAQ,1,exact,1.1,0,0
240810,원익IPS,KOSDAQ,1,exact,1.1,0,0
214370,케어젠,KOSDAQ,1,exact,1.1,0,0
039030,이오테크닉스,KOSDAQ,2,exact,1.1,0,0
240810,원익IPS,KOSDAQ,2,exact,1.2,0,0
214370,케어젠,KOSDAQ,2,exact,1.2,0,0
039030,이오테크닉스,KOSDAQ,3,exact,1.0,0,0
240810,원익IPS,KOSDAQ,3,exact,1.1,0,0
214370,케어젠,KOSDAQ,3,exact,1.1,0,0
310210,보로노이,KOSDAQ,1,exact,1.2,0,0
095340,ISC,KOSDAQ,1,exact,1.2,0,0
108490,로보티즈,KOSDAQ,1,exact,1.1,0,0
310210,보로노이,KOSDAQ,2,exact,1.1,0,0
095340,ISC,KOSDAQ,2,exact,1.1,0,0
108490,로보티즈,KOSDAQ,2,exact,1.1,0,0
310210,보로노이,KOSDAQ,3,exact,1.2,0,0
095340,ISC,KOSDAQ,3,exact,1.2,0,0
108490,로보티즈,KOSDAQ,3,exact,1.1,0,0
403870,HPSP,KOSDAQ,1,exact,1.1,0,0
440110,파두,KOSDAQ,1,exact,1.1,0,0
263750,펄어비스,KOSDAQ,1,exact,1.1,0,0
403870,HPSP,KOSDAQ,2,exact,1.2,0,0
440110,파두,KOSDAQ,2,exact,1.1,0,0
263750,펄어비스,KOSDAQ,2,exact,1.0,0,0
403870,HPSP,KOSDAQ,3,exact,1.1,0,0
440110,파두,KOSDAQ,3,exact,1.2,0,0
263750,펄어비스,KOSDAQ,3,exact,1.1,0,0
032820,우리기술,KOSDAQ,1,exact,1.2,0,0
357780,솔브레인,KOSDAQ,1,exact,1.2,0,0
214150,클래시스,KOSDAQ,1,exact,1.5,0,0
032820,우리기술,KOSDAQ,2,exact,1.3,0,0
357780,솔브레인,KOSDAQ,2,exact,1.3,0,0
214150,클래시스,KOSDAQ,2,exact,1.2,0,0
032820,우리기술,KOSDAQ,3,exact,1.2,0,0
214150,클래시스,KOSDAQ,3,exact,1.2,0,0
357780,솔브레인,KOSDAQ,3,exact,1.4,0,0
178320,서진시스템,KOSDAQ,1,exact,1.4,0,0
226950,올릭스,KOSDAQ,1,exact,1.2,0,0
319400,현대무벡스,KOSDAQ,1,exact,1.1,0,0
178320,서진시스템,KOSDAQ,2,exact,1.5,0,0
226950,올릭스,KOSDAQ,2,exact,1.1,0,0
319400,현대무벡스,KOSDAQ,2,exact,1.1,0,0
178320,서진시스템,KOSDAQ,3,exact,1.3,0,0
226950,올릭스,KOSDAQ,3,exact,1.1,0,0
319400,현대무벡스,KOSDAQ,3,exact,1.2,0,0
064760,티씨케이,KOSDAQ,1,exact,1.1,0,0
214450,파마리서치,KOSDAQ,1,exact,1.1,0,0
347850,디앤디파마텍,KOSDAQ,1,exact,1.1,0,0
064760,티씨케이,KOSDAQ,2,exact,1.1,0,0
214450,파마리서치,KOSDAQ,2,exact,1.1,0,0
347850,디앤디파마텍,KOSDAQ,2,exact,1.1,0,0
064760,티씨케이,KOSDAQ,3,exact,1.1,0,0
347850,디앤디파마텍,KOSDAQ,3,exact,1.1,0,0
214450,파마리서치,KOSDAQ,3,exact,1.4,0,0
222800,심텍,KOSDAQ,1,exact,1.1,0,0
237690,에스티팜,KOSDAQ,1,exact,1.1,0,0
145020,휴젤,KOSDAQ,1,exact,1.1,0,0
222800,심텍,KOSDAQ,2,exact,1.1,0,0
237690,에스티팜,KOSDAQ,2,exact,1.1,0,0
145020,휴젤,KOSDAQ,2,exact,1.1,0,0
222800,심텍,KOSDAQ,3,exact,1.2,0,0
237690,에스티팜,KOSDAQ,3,exact,1.1,0,0
145020,휴젤,KOSDAQ,3,exact,1.2,0,0
083650,비에이치아이,KOSDAQ,1,exact,1.1,0,0
084370,유진테크,KOSDAQ,1,exact,1.1,0,0
005290,동진쎄미켐,KOSDAQ,1,exact,1.1,0,0
083650,비에이치아이,KOSDAQ,2,exact,1.1,0,0
084370,유진테크,KOSDAQ,2,exact,1.2,0,0
005290,동진쎄미켐,KOSDAQ,2,exact,1.1,0,0
083650,비에이치아이,KOSDAQ,3,exact,1.1,0,0
084370,유진테크,KOSDAQ,3,exact,1.1,0,0
005290,동진쎄미켐,KOSDAQ,3,exact,1.1,0,0
058610,에스피지,KOSDAQ,1,exact,1.1,0,0
043260,성호전자,KOSDAQ,1,exact,1.3,0,0
100790,M레거시벤처투자,KOSDAQ,1,exact,1.2,0,0
043260,성호전자,KOSDAQ,2,exact,1.2,0,0
058610,에스피지,KOSDAQ,2,exact,1.3,0,0
100790,M레거시벤처투자,KOSDAQ,2,exact,1.1,0,0
058610,에스피지,KOSDAQ,3,exact,1.2,0,0
100790,M레거시벤처투자,KOSDAQ,3,exact,1.2,0,0
043260,성호전자,KOSDAQ,3,exact,1.4,0,0
257720,실리콘투,KOSDAQ,1,exact,1.2,0,0
098460,고영,KOSDAQ,1,exact,1.3,0,0
031980,피에스케이홀딩스,KOSDAQ,1,exact,1.2,0,0
