corp_code,corp_name,stock_code,rcept_no,rcept_dt,report_nm,is_correction,is_extraordinary
00799070,이스트아시아홀딩스,900110,20260415000322,20260415,[기재정정]주주총회소집공고,True,False
00799070,이스트아시아홀딩스,900110,20260401004824,20260401,주주총회소집공고,False,False
00799070,이스트아시아홀딩스,900110,20250724000356,20250724,주주총회소집공고,False,False
00799070,이스트아시아홀딩스,900110,20250416000236,20250416,[기재정정]주주총회소집공고,True,False
00799070,이스트아시아홀딩스,900110,20250402002621,20250402,주주총회소집공고,False,False
00799070,이스트아시아홀딩스,900110,20240418000243,20240418,[기재정정]주주총회소집공고,True,False
00799070,이스트아시아홀딩스,900110,20240404002987,20240404,주주총회소집공고,False,False
00267881,보성파워텍,006910,20260305001540,20260305,주주총회소집공고,False,False
00267881,보성파워텍,006910,20250304000657,20250304,주주총회소집공고,False,False
00267881,보성파워텍,006910,20240305000522,20240305,주주총회소집공고,False,False
00105156,극동유화,014530,20260316000603,20260316,주주총회소집공고,False,False
00105156,극동유화,014530,20250313001237,20250313,주주총회소집공고,False,False
00105156,극동유화,014530,20240314000272,20240314,주주총회소집공고,False,False
00351630,세코닉스,053450,20260304000241,20260304,주주총회소집공고,False,False
00351630,세코닉스,053450,20250306000125,20250306,주주총회소집공고,False,False
00351630,세코닉스,053450,20240308000218,20240308,주주총회소집공고,False,False
00867098,티로보틱스,117730,20260309001681,20260309,주주총회소집공고,False,False
00867098,티로보틱스,117730,20250313001332,20250313,주주총회소집공고,False,False
00867098,티로보틱스,117730,20250313001314,20250313,주주총회소집공고,False,False
00867098,티로보틱스,117730,20241206000457,20241206,주주총회소집공고,False,False
00867098,티로보틱스,117730,20240306000182,20240306,주주총회소집공고,False,False
00146649,일진홀딩스,015860,20260304000706,20260304,주주총회소집공고,False,False
00146649,일진홀딩스,015860,20250305000306,20250305,주주총회소집공고,False,False
00146649,일진홀딩스,015860,20240306000111,20240306,주주총회소집공고,False,False
00601191,하나기술,299030,20260320000967,20260320,[기재정정]주주총회소집공고,True,False
00601191,하나기술,299030,20260304001079,20260304,주주총회소집공고,False,False
00601191,하나기술,299030,20250313001193,20250313,주주총회소집공고,False,False
00601191,하나기술,299030,20240313001102,20240313,주주총회소집공고,False,False
00148443,제일파마홀딩스,002620,20260309001363,20260309,주주총회소집공고,False,False
00148443,제일파마홀딩스,002620,20250310000610,20250310,주주총회소집공고,False,False
00148443,제일파마홀딩스,002620,20240305000267,20240305,주주총회소집공고,False,False
00148939,조광피혁,004700,20260323001019,20260323,[기재정정]주주총회소집공고,True,False
00148939,조광피혁,004700,20260312001074,20260312,주주총회소집공고,False,False
00148939,조광피혁,004700,20250324000637,20250324,[기재정정]주주총회소집공고,True,False
00148939,조광피혁,004700,20250313000933,20250313,주주총회소집공고,False,False
00148939,조광피혁,004700,20240325000677,20240325,[기재정정]주주총회소집공고,True,False
00148939,조광피혁,004700,20240313001233,20240313,주주총회소집공고,False,False
00438036,팅크웨어,084730,20260316000395,20260316,[기재정정]주주총회소집공고,True,False
00438036,팅크웨어,084730,20260316000277,20260316,[기재정정]주주총회소집공고,True,False
00438036,팅크웨어,084730,20260313001379,20260316,[기재정정]주주총회소집공고,True,False
00438036,팅크웨어,084730,20260310002509,20260310,주주총회소집공고,False,False
00438036,팅크웨어,084730,20250312000849,20250312,주주총회소집공고,False,False
00438036,팅크웨어,084730,20240312000723,20240312,주주총회소집공고,False,False
01255652,레이크머티리얼즈,281740,20260311003195,20260311,주주총회소집공고,False,False
01255652,레이크머티리얼즈,281740,20250311000401,20250311,주주총회소집공고,False,False
01255652,레이크머티리얼즈,281740,20240313000344,20240313,주주총회소집공고,False,False
00664181,인텔리안테크,189300,20260312000407,20260312,주주총회소집공고,False,False
00664181,인텔리안테크,189300,20250313000522,20250313,주주총회소집공고,False,False
00664181,인텔리안테크,189300,20240311000526,20240311,주주총회소집공고,False,False
