market,rank,ticker,company,rcept_dt,rcept_no,report_nm,category,plan_title,implementation_sections_count,embedded_results_count,implementation_tag_counts
KOSPI,49,003550,LG,20260326,20260326803162,기업가치제고계획(자율공시)              (고배당기업 표시를 위한 재공시),meta_amendment,㈜LG 기업가치 제고 계획 ('25년 이행현황),1,0,"{""implementation_outlook"": 1}"
KOSPI,49,003550,LG,20251128,20251128800073,기업가치제고계획(자율공시)              (2025년 이행현황),progress,㈜LG 기업가치 제고 계획 ('25년 이행현황),1,0,"{""implementation_outlook"": 1}"
KOSPI,49,003550,LG,20241122,20241122800186,기업가치제고계획(자율공시)              ,plan,2024년 ㈜LG 기업가치 제고 계획,0,0,{}
KOSPI,49,003550,LG,20240829,20240829800595,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,50,138040,메리츠금융지주,20260514,20260514800847,기업가치제고계획(자율공시)              (2026년 1분기 이행현황),progress,2026년 1분기 ㈜메리츠금융지주 기업가치 제고 계획 이행현황,1,0,"{""future_plan"": 1}"
KOSPI,50,138040,메리츠금융지주,20260211,20260211800942,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 ㈜메리츠금융지주 기업가치 제고 계획 이행현황,1,0,"{""future_plan"": 1}"
KOSPI,50,138040,메리츠금융지주,20251114,20251114801489,기업가치제고계획(자율공시)              (중기 주주환원 정책),plan,㈜메리츠금융지주 중기 주주환원 정책 (2026년~2028년),2,0,"{""future_plan"": 2}"
KOSPI,50,138040,메리츠금융지주,20250813,20250813800624,기업가치제고계획(자율공시)              (2025년 2분기 이행현황),progress,2025년 2분기 ㈜메리츠금융지주 기업가치 제고 계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,50,138040,메리츠금융지주,20250508,20250508800647,기업가치제고계획(자율공시)              (2025년 계획 및 1분기 이행현황),progress,2025년 ㈜메리츠금융지주 기업가치 제고 계획 및 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,50,138040,메리츠금융지주,20250219,20250219800602,기업가치제고계획(자율공시)              (2024년 이행현황),progress,2024년 ㈜메리츠금융지주 기업가치 제고 계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,50,138040,메리츠금융지주,20241113,20241113800496,기업가치제고계획(자율공시)              (2024년 3분기 이행현황),progress,2024년 3분기 ㈜메리츠금융지주 기업가치 제고 계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,50,138040,메리츠금융지주,20240814,20240814801720,기업가치제고계획(자율공시)              (2024년 2분기 ㈜메리츠금융지주 기업가치 제고 계획 이행현황),progress,2024년 2분기 ㈜메리츠금융지주 기업가치 제고 계획 이행현황,1,0,"{""implementation_status"": 1}"
KOSPI,50,138040,메리츠금융지주,20240704,20240704800679,기업가치제고계획(자율공시)              ,plan,2024년 ㈜메리츠금융지주 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,51,086280,현대글로비스,20260326,20260326802320,기업가치제고계획(자율공시)              ,progress,현대글로비스 기업가치 제고 계획 및 이행현황,1,0,"{""implementation_outlook"": 1}"
KOSPI,51,086280,현대글로비스,20250917,20250917800150,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025년 현대글로비스 Value-up Plan 이행 현황,1,0,"{""future_plan"": 1}"
KOSPI,51,086280,현대글로비스,20241031,20241031800081,기업가치제고계획(자율공시)              ,plan,2024 현대글로비스 Value-up Program,3,0,"{""implementation_outlook"": 2, ""implementation_status"": 1}"
KOSPI,53,006260,LS,20260327,20260327802924,기업가치제고계획(자율공시)              ,plan,2026년 (주)LS 기업가치 제고 계획,1,0,"{""meta_reference"": 1}"
KOSPI,54,024110,기업은행,20241205,20241205800245,기업가치제고계획(자율공시)              ,plan,2024 IBK기업은행 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,54,024110,기업은행,20240930,20240930800945,기업가치제고계획예고(안내공시)              ,pre_announcement,,0,0,{}
KOSPI,55,000720,현대건설,20251217,20251217800377,기업가치제고계획(자율공시)              (2025년 이행현황),progress,2025 현대건설 기업가치 제고계획 이행현황,2,0,"{""implementation_status"": 1, ""meta_reference"": 1}"
KOSPI,55,000720,현대건설,20250328,20250328802160,기업가치제고계획(자율공시)              ,plan,2025 현대건설 기업가치 제고계획,2,0,"{""implementation_status"": 1, ""meta_reference"": 1}"
KOSPI,56,047810,한국항공우주,20260430,20260430801310,기업가치제고계획(자율공시)              ,progress,2026년 한국항공우주산업 기업가치 제고 계획(이행현황),2,0,"{""implementation_status"": 1, ""meta_reference"": 1}"
KOSPI,56,047810,한국항공우주,20250430,20250430801143,기업가치제고계획(자율공시)              ,plan,2025 한국항공우주산업 기업가치 제고 계획,1,0,"{""meta_reference"": 1}"
KOSPI,57,018260,삼성에스디에스,20260319,20260319801717,기업가치제고계획(자율공시)              ,plan,삼성SDS 기업가치 제고 계획,0,0,{}
KOSPI,58,278470,에이피알,20260331,20260331804449,기업가치제고계획(자율공시)              ,plan,2026년 주식회사 에이피알 기업가치 제고 계획,0,0,{}
KOSPI,59,071050,한국금융지주,20260429,20260429800936,기업가치제고계획(자율공시)              ,progress,2026 한국투자금융지주(주) 기업가치 제고 계획 이행현황,2,0,"{""implementation_status"": 1, ""meta_reference"": 1}"
KOSPI,59,071050,한국금융지주,20260312,20260312802071,기업가치제고계획(자율공시)              ,plan,2026 한국투자금융지주(주) 기업가치 제고 계획,0,0,{}
KOSPI,59,071050,한국금융지주,20250526,20250526800633,기업가치제고계획(자율공시)              (2025 한국투자금융지주(주) 기업가치 제고 계획),plan,2025 한국투자금융지주(주) 기업가치 제고 계획,0,0,{}
KOSPI,60,030200,케이티,20260331,20260331804340,기업가치제고계획(자율공시)              ,plan,2025년 KT 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,60,030200,케이티,20251111,20251111800400,기업가치제고계획(자율공시)              ,plan,2025년 KT 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
KOSPI,60,030200,케이티,20250509,20250509800067,기업가치제고계획(자율공시)              (이행현황),progress,2025년 상반기 KT 기업가치 제고 계획 이행현황,2,0,"{""implementation_status"": 2}"
KOSPI,60,030200,케이티,20241105,20241105800496,기업가치제고계획(자율공시)              ,plan,KT 기업가치 제고 계획,1,0,"{""future_plan"": 1}"
