isu_cd,effective_date,factor,event_type,source,evidence,price_check,confidence,note
219750,20190827,1.97058143536701,bonus,disclosure,20190823000378,warn,confirmed,"신주 6,066,199 = 공시 bonus | 주식수반영일 20190923"
219750,20230508,0.499999973837921,reduction,v1+ledger,20230309000674,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
220100,20200804,1.19999997919416,mixed,disclosure,20200723000038,warn,confirmed,"신주 1,922,537 = 공시 mixed | 주식수반영일 20200826"
220100,20221024,1.29997604395396,mixed,disclosure,20221007000055,pass,confirmed,"신주 5,100,184 = 공시 mixed | 주식수반영일 20221111"
220630,20220519,0.0999999990178509,merge,v1+ledger,20220324901315,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
221610,20200512,1.41502095940253,split,v1+ledger,20200428900653,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
221610,20200424,5,bonus,disclosure,20200423000442,warn,confirmed,"신주 113,022,620 = 공시 bonus | 주식수반영일 20200519"
221610,20210521,0.0199999979061237,merge,v1+ledger,20210517901416,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
222040,20170228,2,bonus,disclosure,20170214000323,warn,confirmed,"신주 10,314,000 = 공시 bonus | 주식수반영일 20170327"
222810,20220304,0.199999997426288,merge,v1+ledger,20220303900687,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
222810,20250304,0.2,reduction,v1+ledger,20250228005908,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
222980,20191213,2,bonus,disclosure,20191128000285,warn,confirmed,"신주 4,975,000 = 공시 bonus | 주식수반영일 20200106"
223250,20231010,4,bonus,disclosure,20230925000338,warn,confirmed,"신주 17,781,960 = 공시 bonus | 주식수반영일 20231030"
223310,20200721,0.0499999991225346,reduction,v1+ledger,20200619000256,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
224060,20161124,5.9322812187799,split,v1+ledger,20161121900341,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
224060,20161128,3,bonus,disclosure,20161109000395,warn,confirmed,"신주 45,009,760 = 공시 bonus | 주식수반영일 20161228"
224060,20220811,0.199999997281019,merge,v1+ledger,20220810900462,pass,confirmed,"v1 confirmed 승계, 일간 실측 배율"
