bas_dd,n_stocks
20210203,2398
20210204,2399
20210205,2401
20210208,2401
20210209,2401
20210210,2402
20210211,0
20210212,0
20210215,2401
20210216,2402
20210217,2402
20210218,2402
20210219,2402
20210222,2402
20210223,2402
20210224,2404
20210225,2405
20210226,2407
20210301,0
20210302,2407
20210303,2407
20210304,2407
20210305,2408
20210308,2408
20210309,2409
20210310,2409
20210311,2411
20210312,2411
20210315,2412
20210316,2414
20210317,2415
20210318,2416
20210319,2416
20210322,2416
20210323,2417
20210324,2419
20210325,2419
20210326,2419
20210329,2419
20210330,2419
20210331,2419
20210401,2420
20210402,2420
20210405,2421
20210406,2421
20210407,2421
20210408,2422
20210409,2422
20210412,2422
20210413,2421
20210414,2421
20210415,2421
20210416,2420
20210419,2418
20210420,2418
20210421,2420
20210422,2420
20210423,2420
20210426,2420
20210427,2420
20210428,2421
20210429,2421
20210430,2421
20210503,2421
20210504,2421
20210505,0
20210506,2421
20210507,2421
20210510,2422
20210511,2423
20210512,2423
20210513,2423
20210514,2424
20210517,2425
20210518,2425
20210519,0
20210520,2426
20210521,2430
20210524,2430
20210525,2430
20210526,2432
20210527,2434
20210528,2435
20210531,2435
20210601,2435
20210602,2435
20210603,2436
20210604,2435
20210607,2434
20210608,2434
20210609,2434
20210610,2433
20210611,2433
20210614,2432
20210615,2432
20210616,2432
20210617,2434
20210618,2435
20210621,2435
20210622,2435
20210623,2435
20210624,2435
20210625,2436
20210628,2436
20210629,2436
20210630,2436
20210701,2436
20210702,2436
20210705,2436
20210706,2436
20210707,2436
20210708,2435
20210709,2435
20210712,2435
20210713,2435
20210714,2435
20210715,2435
20210716,2435
20210719,2435
20210720,2434
20210721,2434
20210722,2435
20210723,2435
20210726,2435
20210727,2436
20210728,2437
20210729,2437
20210730,2437
20210802,2436
20210803,2436
20210804,2436
20210805,2437
20210806,2438
20210809,2438
20210810,2439
20210811,2439
20210812,2440
20210813,2441
20210816,0
20210817,2443
20210818,2443
20210819,2445
20210820,2446
20210823,2445
20210824,2445
20210825,2446
20210826,2446
20210827,2446
20210830,2446
20210831,2445
20210901,2446
20210902,2445
20210903,2446
20210906,2446
20210907,2446
20210908,2447
20210909,2447
20210910,2448
20210913,2448
20210914,2449
20210915,2449
20210916,2448
20210917,2450
20210920,0
20210921,0
20210922,0
20210923,2449
20210924,2449
20210927,2451
20210928,2452
20210929,2454
20210930,2453
20211001,2453
20211004,0
20211005,2453
20211006,2452
20211007,2455
20211008,2454
20211011,0
20211012,2454
20211013,2455
20211014,2455
20211015,2456
20211018,2456
20211019,2456
20211020,2456
20211021,2457
20211022,2458
20211025,2458
20211026,2458
20211027,2458
20211028,2459
20211029,2461
20211101,2462
20211102,2462
20211103,2464
20211104,2463
20211105,2462
20211108,2463
20211109,2463
20211110,2465
20211111,2467
20211112,2467
20211115,2467
20211116,2467
20211117,2467
20211118,2469
20211119,2469
20211122,2470
20211123,2471
20211124,2471
20211125,2471
20211126,2471
20211129,2472
20211130,2472
20211201,2472
20211202,2474
20211203,2475
20211206,2475
20211207,2473
20211208,2473
20211209,2473
20211210,2475
20211213,2475
20211214,2475
20211215,2475
20211216,2476
20211217,2476
20211220,2477
20211221,2477
20211222,2477
20211223,2477
20211224,2478
20211227,2478
20211228,2478
20211229,2478
20211230,2479
20211231,0
20220103,2478
20220104,2478
20220105,2477
20220106,2477
20220107,2477
20220110,2477
20220111,2477
20220112,2477
20220113,2477
20220114,2477
20220117,2477
20220118,2475
20220119,2475
20220120,2477
20220121,2477
20220124,2479
20220125,2479
20220126,2479
20220127,2480
20220128,2480
20220131,0
20220201,0
20220202,0
20220203,2480
20220204,2481
20220207,2482
20220208,2483
20220209,2483
20220210,2483
20220211,2483
20220214,2483
20220215,2483
20220216,2484
20220217,2483
20220218,2484
20220221,2486
20220222,2485
20220223,2485
20220224,2486
20220225,2488
20220228,2489
20220301,0
20220302,2489
20220303,2491
20220304,2491
20220307,2492
20220308,2492
20220309,0
20220310,2493
20220311,2493
20220314,2493
20220315,2493
20220316,2493
20220317,2492
20220318,2493
20220321,2493
20220322,2492
20220323,2493
20220324,2494
