market,rank,ticker,company,market_cap
KOSPI,272,009240,한샘,"7,743"
KOSPI,273,017900,광전자,"7,608"
KOSPI,274,003620,KG모빌리티,"7,599"
KOSPI,275,383800,LX홀딩스,"7,590"
KOSPI,276,317450,명인제약,"7,519"
KOSPI,277,005090,SGC에너지,"7,464"
KOSPI,278,161000,애경케미칼,"7,409"
KOSPI,279,249420,일동제약,"7,293"
KOSPI,280,114090,GKL,"7,256"
KOSPI,281,069260,티케이지휴켐스,"7,236"
KOSPI,282,007700,F&F 홀딩스,"7,185"
KOSPI,283,003030,세아제강지주,"7,066"
KOSPI,284,005250,녹십자홀딩스,"7,040"
KOSPI,285,008060,대덕,"7,008"
KOSPI,286,001060,JW중외제약,"6,974"
KOSPI,287,093050,LF,"6,974"
KOSPI,288,001680,대상,"6,930"
KOSPI,289,000400,롯데손해보험,"6,920"
KOSPI,290,014820,동원시스템즈,"6,856"
KOSPI,291,005180,빙그레,"6,794"
KOSPI,292,001270,부국증권,"6,772"
KOSPI,293,016380,KG스틸,"6,761"
KOSPI,294,002960,한국쉘석유,"6,760"
KOSPI,295,293940,신한알파리츠,"6,652"
KOSPI,296,001500,현대차증권,"6,635"
KOSPI,297,058650,세아홀딩스,"6,631"
KOSPI,298,002350,넥센타이어,"6,612"
KOSPI,299,011930,신성이엔지,"6,494"
KOSPI,300,217590,티엠씨,"6,469"
KOSPI,301,017940,E1,"6,407"
KOSPI,302,001570,금양,"6,333"
KOSPI,303,000640,동아쏘시오홀딩스,"6,234"
KOSPI,304,006380,카프로,"6,185"
KOSPI,305,460860,동국제강,"6,117"
KOSPI,306,452260,한화갤러리아,"6,097"
KOSPI,307,003280,흥아해운,"6,035"
KOSPI,308,002840,미원상사,"6,032"
KOSPI,309,453340,현대그린푸드,"6,004"
KOSPI,310,005810,풍산홀딩스,"5,940"
KOSPI,311,039130,하나투어,"5,894"
KOSPI,312,001530,디아이동일,"5,883"
KOSPI,313,005420,코스모화학,"5,873"
KOSPI,314,009900,명신산업,"5,777"
KOSPI,315,002240,고려제강,"5,764"
KOSPI,316,019170,신풍제약,"5,745"
KOSPI,317,271940,일진하이솔루스,"5,665"
KOSPI,318,010820,퍼스텍,"5,609"
KOSPI,319,094800,맵스리얼티,"5,477"
KOSPI,320,008730,율촌화학,"5,394"
KOSPI,321,020000,한섬,"5,348"
KOSPI,322,003000,부광약품,"5,348"
KOSPI,323,009410,태영건설,"5,327"
KOSPI,324,015860,일진홀딩스,"5,290"
KOSPI,325,268280,미원에스씨,"5,270"
KOSPI,326,284740,쿠쿠홈시스,"5,239"
KOSPI,327,377740,바이오노트,"5,217"
KOSPI,328,001200,유진증권,"5,192"
KOSPI,329,031430,신세계인터내셔날,"5,188"
KOSPI,330,016610,DB증권,"5,174"
KOSPI,331,003300,한일홀딩스,"5,146"
KOSPI,332,130660,한전산업,"5,086"
KOSPI,333,014830,유니드,"5,049"
KOSPI,334,381970,케이카,"4,853"
KOSPI,335,034310,NICE,"4,837"
KOSPI,336,448730,삼성FN리츠,"4,780"
KOSPI,337,004710,한솔테크닉스,"4,772"
KOSPI,338,950210,프레스티지바이오파마,"4,688"
KOSPI,339,002030,아세아,"4,653"
KOSPI,340,145990,삼양사,"4,636"
KOSPI,341,004690,삼천리,"4,631"
KOSPI,342,000070,삼양홀딩스,"4,619"
KOSPI,343,092790,넥스틸,"4,605"
KOSPI,344,403550,쏘카,"4,562"
KOSPI,345,015360,INVENI,"4,494"
KOSPI,346,002710,TCC스틸,"4,490"
KOSPI,347,072710,농심홀딩스,"4,466"
KOSPI,348,105840,우진,"4,464"
KOSPI,349,306200,세아제강,"4,450"
KOSPI,350,010690,화신,"4,445"
KOSPI,351,027410,BGF,"4,408"
KOSPI,352,145720,덴티움,"4,407"
KOSPI,353,016590,신대양제지,"4,332"
KOSPI,354,357120,코람코라이프인프라리츠,"4,322"
KOSPI,355,344820,케이씨씨글라스,"4,312"
KOSPI,356,005950,이수화학,"4,270"
KOSPI,357,060980,HL홀딩스,"4,267"
KOSPI,358,004700,조광피혁,"4,216"
KOSPI,359,029530,신도리코,"4,207"
KOSPI,360,012030,DB,"4,205"
KOSPI,361,126720,수산인더스트리,"4,200"
KOSPI,362,017810,풀무원,"4,155"
KOSPI,363,006220,제주은행,"4,143"
KOSPI,364,417310,코람코더원리츠,"4,121"
KOSPI,365,089590,제주항공,"4,105"
KOSPI,366,170900,동아에스티,"4,076"
KOSPI,367,058430,포스코스틸리온,"4,068"
KOSPI,368,097520,엠씨넥스,"4,037"
KOSPI,369,002810,삼영무역,"3,989"
KOSPI,370,025860,남해화학,"3,949"
KOSPI,371,192650,드림텍,"3,932"
KOSPI,372,029460,케이씨,"3,912"
KOSPI,373,200880,서연이화,"3,906"
KOSPI,374,005610,삼립,"3,857"
KOSPI,375,091810,트리니티항공,"3,853"
KOSPI,376,105630,한세실업,"3,780"
KOSPI,377,183190,아세아시멘트,"3,767"
KOSPI,378,009290,광동제약,"3,765"
KOSPI,379,011760,현대코퍼레이션,"3,731"
KOSPI,380,009160,SIMPAC,"3,720"
KOSPI,381,005720,넥센,"3,662"
KOSPI,382,003720,삼영,"3,638"
KOSPI,383,092230,KPX홀딩스,"3,637"
KOSPI,384,001230,동국홀딩스,"3,625"
KOSPI,385,034830,한국토지신탁,"3,563"
KOSPI,386,092200,디아이씨,"3,543"
KOSPI,387,194370,제이에스코퍼레이션,"3,540"
KOSPI,388,078520,에이블씨엔씨,"3,538"
KOSPI,389,016800,퍼시스,"3,536"
KOSPI,390,001390,KG케미칼,"3,516"
KOSPI,391,084010,대한제강,"3,502"
KOSPI,392,108670,LX하우시스,"3,493"
KOSPI,393,026890,스틱인베스트먼트,"3,466"
KOSPI,394,000650,천일고속,"3,459"
KOSPI,395,084690,대상홀딩스,"3,447"
KOSPI,396,018250,애경산업,"3,428"
KOSPI,397,104700,한국철강,"3,426"
KOSPI,398,002900,TYM,"3,341"
KOSPI,399,001940,KISCO홀딩스,"3,324"
KOSPI,400,126560,현대퓨처넷,"3,314"
KOSPI,401,007690,국도화학,"3,301"
KOSPI,402,002310,아세아제지,"3,294"
KOSPI,403,024720,콜마홀딩스,"3,292"
KOSPI,404,272450,진에어,"3,247"
KOSPI,405,286940,롯데이노베이트,"3,223"
KOSPI,406,017860,DS단석,"3,175"
KOSPI,407,005010,휴스틸,"3,158"
KOSPI,408,001750,한양증권,"3,150"
KOSPI,409,011500,한농화성,"3,127"
KOSPI,410,000680,LS네트웍스,"3,109"
KOSPI,411,033270,유나이티드,"3,098"
KOSPI,412,900140,엘브이엠씨,"3,016"
KOSPI,413,001250,GS글로벌,"3,008"
KOSPI,414,017390,서울도시가스,"3,000"
KOSPI,415,005500,삼진제약,"2,984"
KOSPI,416,123890,한국자산신탁,"2,980"
KOSPI,417,003920,남양유업,"2,961"
KOSPI,418,128820,대성산업,"2,958"
KOSPI,419,096760,JW홀딩스,"2,905"
